dataset,n,algo,ns_per_query,mean_data_probes,max_data_probes,mean_model_probes,errors,detected
syn_linear,1000000,stl_lb,143.65,,,,,
syn_linear,1000000,binary,126.78,18.93,20,0.00,0,
syn_linear,1000000,interp,7.67,1.01,2,0.00,0,
syn_linear,1000000,mmas_closed,24.10,1.01,2,0.00,0,linear
syn_linear,1000000,pgm_pla,15.20,1.00,1,1.00,0,segs=1
syn_quadratic,1000000,stl_lb,153.07,,,,,
syn_quadratic,1000000,binary,136.18,19.47,20,0.00,0,
syn_quadratic,1000000,interp,691.00,29.84,896,0.00,0,
syn_quadratic,1000000,mmas_closed,61.15,1.00,1,0.00,0,power
syn_quadratic,1000000,pgm_pla,76.17,5.66,7,6.81,0,segs=104
syn_exponential,732523,stl_lb,147.07,,,,,
syn_exponential,732523,binary,140.05,19.05,20,0.00,0,
syn_exponential,732523,interp,1333832.32,100142.28,342740,0.00,0,
syn_exponential,732523,mmas_closed,138.47,19.05,20,0.00,0,binary
syn_exponential,732523,pgm_pla,84.03,5.68,7,7.81,0,segs=216
syn_uniform,1000000,stl_lb,150.53,,,,,
syn_uniform,1000000,binary,138.50,19.45,20,0.00,0,
syn_uniform,1000000,interp,87.17,4.05,10,0.00,0,
syn_uniform,1000000,mmas_closed,100.92,4.05,10,0.00,0,linear
syn_uniform,1000000,pgm_pla,86.35,5.62,7,8.56,0,segs=353
syn_adversarial,99993,stl_lb,90.00,,,,,
syn_adversarial,99993,binary,68.22,15.71,17,0.00,0,
syn_adversarial,99993,interp,109242.05,8395.27,16257,0.00,0,
syn_adversarial,99993,mmas_closed,74.35,15.71,17,0.00,0,binary
syn_adversarial,99993,pgm_pla,32.05,2.94,7,2.00,0,segs=2
real_filesizes,80950,stl_lb,91.75,,,,,
real_filesizes,80950,binary,72.15,15.91,17,0.00,0,
real_filesizes,80950,interp,377293.88,29404.08,47246,0.00,0,
real_filesizes,80950,mmas_closed,75.10,15.91,17,0.00,0,binary
real_filesizes,80950,pgm_pla,62.30,5.61,7,5.77,0,segs=52
real_mtimes,9489,stl_lb,62.23,,,,,
real_mtimes,9489,binary,37.62,12.76,14,0.00,0,
real_mtimes,9489,interp,4847.50,380.02,1602,0.00,0,
real_mtimes,9489,mmas_closed,55.40,12.76,14,0.00,0,binary
real_mtimes,9489,pgm_pla,56.62,5.55,7,6.00,0,segs=63
